Pathway	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_11_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_12_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_15_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_16_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_17_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_18_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_19_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_20_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_22_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_25_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_26_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_28_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_29_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_2_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_4_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_5_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_7_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_8.2_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_8_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_9_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SK_10_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SK_11_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SK_12_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SK_13_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SK_14_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SK_15_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SK_17_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SK_18_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SK_19_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SK_1_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SK_24_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SK_25_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SK_26_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SK_27_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SK_29_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SK_2_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SK_30_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SK_32_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SK_33_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SK_34_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SK_35_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SK_36_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SK_37_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SK_38_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SK_39_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SK_40_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SK_44_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SK_45_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SK_47.2_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SK_47_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SK_48_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SK_49.2_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SK_49_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SK_5_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SK_8_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SK_9_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SR_10.2_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SR_10_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SR_1_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SR_2.2_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SR_2_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SR_3_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SR_4_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SR_5_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SR_6_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SR_7_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SR_8_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SR_9_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SW_11_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SW_12_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SW_14_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SW_1_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SW_2_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SW_3_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SW_4_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SW_5_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SW_7_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SW_8_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SW_9_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_RS12_A_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_RS12_B_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_RS14_A_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_RS14_B_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_RS1_A_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_RS1_B_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_RS5_A_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_RS5_B_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_RS8_A_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_RS8_B_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_TS12_A_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_TS12_B_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_TS14_A_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_TS14_B_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_TS1_A_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_TS1_B_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_TS5_A_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_TS5_B_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_TS8_A_Abundance	NODUP_HMN_UNMAPPED_TRIM_MARKED_TS8_B_Abundance
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Akkermansia.s__Akkermansia_muciniphila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22E-05	0	0	0	0	0	0	2.04E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.03E-06	0	0	0	0	0	3.88E-06	0	0	0	0	0	1.85E-05	1.83E-06	1.17E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.96E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Alistipes.s__Alistipes_finegoldii	0	0	0	4.97E-06	0	2.12E-06	0	0	0	0	0	0	0	0	3.49E-05	0	0	0	0	0	0	2.50E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.56E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.97E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Alistipes.s__Alistipes_indistinctus	0	0	0	0	0	0	0	0	5.22E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.09E-06	0	0	0	0	0	0	0	1.60E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.61E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Alistipes.s__Alistipes_putredinis	3.95E-05	0	0	2.95E-05	0	0	0	0	0	0	0	0	0	0	0.000100492	2.87E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.87E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.61E-06	0	0	3.41E-06	0	0	0	0	0	0	0	3.32E-05	0	1.32E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Bacteroides.s__Bacteroides_ovatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.57E-06	0	0	0	0	0	8.76E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	4.46E-06	0	0	1.30E-06	0	0	0	0	1.93E-06	0	0	0	0	0	0	0	0	0	1.91E-06	0	0	0	0	0	8.98E-07	2.45E-06	2.28E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.91E-05	4.24E-05	0	3.80E-05	0	0	4.59E-07	0	0	0	2.90E-05	9.81E-06	3.86E-05	3.49E-05	5.98E-05	1.53E-05	9.63E-07	4.62E-07	1.29E-05	6.57E-06
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Bacteroides.s__Bacteroides_sp_2_1_22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.15E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Bacteroides.s__Bacteroides_sp_3_1_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.08E-06	0	0	0	0	0	6.31E-05	0	3.99E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Bacteroides.s__Bacteroides_sp_D22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.69E-05	0	4.14E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Bacteroides.s__Bacteroides_vulgatus	0	0	0	0	0	8.19E-06	0	0	0	0	0	0	0	0	0	8.63E-06	0	0	0	0	0	3.02E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.64E-06	0	3.81E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.37E-06	0	0	0	0	0	9.27E-07	5.90E-07	6.83E-07	0	0	0	4.33E-05	0	0	0	0	0	0	0	0	0	0	2.55E-05	0	6.07E-06	0	1.40E-05	1.48E-05	0	1.30E-05	0	0	3.58E-06	6.94E-06	0	0	2.69E-05	7.05E-06	5.42E-06	1.17E-05	1.48E-05	8.27E-06	2.17E-06	3.89E-06	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Bacteroides.s__Bacteroides_xylanisolvens	0	0	0	0	0	1.51E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.59E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.03E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.95E-06	0	0	0	0	0	2.72E-05	0	2.61E-05	0	0	0	4.38E-06	0	0	0	0	0	0	0	0	0	0	1.50E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.25E-06	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Bifidobacterium.s__Bifidobacterium_adolescentis	0	0	0	0	7.36E-06	0	0	2.37E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.16E-05	8.17E-05	4.12E-05	3.82E-05	1.15E-05	2.18E-05	4.31E-05	0	8.24E-05	0	0.000135496	2.38E-05	4.02E-05	0	8.16E-05	0	5.70E-05	0.000925978	8.44E-05	4.26E-05	0.000232552	0.000378111	1.00E-05	0	8.36E-06	0.000255118	0.000261547	9.83E-06	1.70E-05	6.50E-05	8.64E-06	5.37E-06	0.000162455	0.000100944	5.42E-05	0	0	4.53E-07	0	0	0	0	0	0	0	0	0	1.58E-05	2.78E-05	0	0	0	1.31E-05	0	8.20E-07	2.14E-05	0	0	6.87E-06	1.97E-05	0	0	0	0	1.13E-05	6.44E-06	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Bifidobacterium.s__Bifidobacterium_angulatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.75E-06	0	0	0	0	0	3.64E-06	0	0	0	0	0	0	8.75E-06	5.39E-05	8.02E-05	2.45E-05	0	0	1.21E-05	0	0	0	0	0	0	9.42E-06	3.84E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Bifidobacterium.s__Bifidobacterium_dentium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.77E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Bifidobacterium.s__Bifidobacterium_longum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.98E-07	0	0	0	0	0	7.17E-06	0	0	0	0	1.82E-06	0	5.87E-06	5.96E-05	7.41E-06	2.30E-06	0	2.32E-06	7.85E-06	0	0	0	2.54E-05	0	0	0	8.37E-07	0	1.64E-06	5.01E-06	2.46E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.84E-06	0	0	0	0	0	0	0	4.63E-06	5.11E-06	1.86E-06	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Blautia.s__Ruminococcus_gnavus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76E-05	0	0	1.51E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	2.14E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.79E-06	0	4.27E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Blautia.s__Ruminococcus_obeum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.56E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.37E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.36E-06	0	4.61E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Butyrivibrio.s__Butyrivibrio_crossotus	0	0	3.66E-05	1.02E-05	0	0	0	0	0	3.25E-05	0	0	0	0.000179786	3.69E-05	0	0	0	0	1.05E-05	0	0	0	0	2.81E-06	0	3.90E-05	0	0	0	0	0	0	2.43E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.75E-06	5.54E-06	0	0	0	0	0	0	0	0	0	0	0	0	5.75E-06	0	8.77E-06	0	0	0	0	0	0	0	0	0	1.79E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Catenibacterium.s__Catenibacterium_mitsuokai	0	0	0	0	0	0	0	5.42E-06	0	0	0	0	5.60E-06	0	0	0	0	5.00E-06	0	1.55E-06	0	0	9.57E-06	4.18E-06	3.29E-06	0	0	4.57E-06	6.02E-06	0	0	0	2.28E-06	1.50E-05	1.23E-05	0	1.51E-05	0	0	0	0	0	0	0	1.23E-05	0	4.00E-06	0	1.97E-06	1.03E-05	1.03E-05	2.18E-05	0	0	1.58E-05	3.11E-05	5.28E-06	0	0	0	0	0	0	0	9.73E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Citrobacter.s__Citrobacter_freundii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09E-05	5.99E-06	0	0	0	0	0	0	7.52E-07	2.61E-06
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Clostridium.s__Clostridium_asparagiforme	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.02E-07	0	3.07E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.32E-06	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Clostridium.s__Clostridium_hathewayi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.95E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.15E-07	0	4.60E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.02E-06	0	0	0	0	0	0	0	0	0	4.47E-06	4.14E-06	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Clostridium.s__Clostridium_hylemonae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.06E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Clostridium.s__Clostridium_nexile	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.88E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.37E-06	0	0	1.94E-06	0	0	0	0	0	0	0	0	0	0	0	9.33E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Clostridium.s__Clostridium_perfringens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.17E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Dorea.s__Dorea_formicigenerans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.91E-06	0	2.14E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.44E-06	0	0	0	0	0	0	2.37E-06	0	0	0	0	2.82E-06	0	0	0	1.53E-06	1.57E-06	0	0	3.95E-06	0	0	0	0	0	0	0	6.35E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.56E-05	0	0	0	0	0	0	0	0	0	4.07E-06	1.19E-06	0	0	0	0	6.32E-07	5.51E-06	4.13E-06	2.02E-06
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Dorea.s__Dorea_longicatena	0	0	0	0	2.08E-06	0	0	3.53E-06	0	0	0	0	0	0	0	0	0	3.03E-06	0	0	7.45E-07	0	0	0	1.88E-06	9.58E-06	2.41E-06	0	0	0	0	0	2.74E-06	5.77E-06	8.17E-06	4.47E-06	0	0	1.14E-06	0	1.04E-05	1.89E-06	0	0	0	0	0	0	0	1.43E-06	2.88E-06	1.56E-06	0	0	9.56E-06	5.21E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Eggerthella.s__Eggerthella_lenta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.25E-06	6.86E-07
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Erysipelotrichaceae_noname.s__Clostridium_ramosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.80E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Erysipelotrichaceae_noname.s__Erysipelotrichaceae_bacterium_21_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.46E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Erysipelotrichaceae_noname.s__Erysipelotrichaceae_bacterium_6_1_45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Erysipelotrichaceae_noname.s__Eubacterium_biforme	5.77E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.43E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.60E-06	0	1.85E-06	0	0	0	1.67E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Eubacterium.s__Eubacterium_eligens	0	0	0	5.75E-07	0	0	0	0	0	0	0	0	0	7.65E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.73E-06	0	0	0	0	0	0	0	0	1.67E-06	0	0	0	0	0	0	0	5.84E-06	4.17E-06	0	0	8.16E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94E-06	0	0	1.35E-05	5.20E-06	0	7.63E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
